[24, 13, 33, 40, 28, 1, 25, 3, 34, 44, 4, 2, 21, 15, 0, 10, 11, 19, 32, 14, 39, 8, 7, 37, 30, 45, 43, 17, 6, 35, 27, 5, 26, 16, 42, 46, 12, 22, 36, 18, 29, 20, 38, 31, 23, 9, 41, 47] => 48368.17
[46, 12, 10, 22, 13, 24, 31, 23, 44, 34, 4, 47, 38, 20, 11, 37, 7, 15, 40, 1, 3, 25, 9, 41, 28, 33, 2, 21, 0, 8, 39, 14, 32, 45, 30, 43, 17, 6, 35, 27, 5, 36, 18, 26, 16, 42, 29, 19] => 42698.36
[37, 7, 0, 8, 39, 33, 28, 44, 34, 3, 25, 1, 40, 15, 21, 2, 13, 22, 10, 14, 11, 46, 20, 38, 47, 24, 12, 32, 45, 5, 36, 18, 26, 16, 42, 29, 4, 41, 9, 23, 31, 19, 35, 27, 6, 17, 43, 30] => 49717.81
[3, 1, 40, 0, 7, 5, 36, 18, 26, 16, 42, 29, 27, 6, 43, 30, 45, 32, 10, 22, 24, 47, 38, 31, 23, 44, 34, 9, 28, 15, 21, 2, 33, 13, 12, 20, 46, 11, 14, 39, 8, 37, 17, 35, 19, 4, 41, 25] => 48391.98
[45, 19, 46, 20, 31, 38, 47, 4, 41, 23, 9, 25, 3, 34, 44, 1, 28, 40, 15, 21, 0, 7, 8, 39, 2, 33, 13, 24, 12, 22, 10, 42, 29, 32, 11, 14, 37, 30, 36, 18, 16, 26, 5, 27, 35, 6, 17, 43] => 41411.02
[43, 8, 0, 2, 13, 24, 12, 22, 10, 11, 32, 26, 16, 42, 38, 9, 41, 47, 4, 28, 33, 15, 21, 39, 14, 45, 30, 37, 7, 40, 1, 25, 3, 34, 44, 23, 31, 20, 46, 19, 35, 17, 6, 27, 5, 36, 18, 29] => 48458.89
[12, 20, 46, 10, 11, 14, 45, 43, 30, 37, 7, 0, 21, 15, 40, 28, 41, 4, 47, 38, 19, 29, 42, 31, 23, 44, 34, 9, 32, 35, 27, 5, 26, 16, 18, 36, 6, 17, 8, 39, 25, 3, 1, 33, 2, 22, 13, 24] => 55358.5
[20, 38, 31, 23, 34, 44, 29, 42, 16, 26, 18, 36, 5, 27, 22, 13, 10, 19, 35, 6, 17, 43, 30, 45, 32, 11, 12, 24, 47, 4, 41, 9, 25, 3, 1, 28, 40, 33, 2, 21, 15, 0, 7, 37, 8, 39, 14, 46] => 47046.46
[3, 25, 41, 22, 2, 21, 0, 36, 18, 26, 16, 42, 46, 20, 31, 9, 34, 44, 23, 38, 24, 13, 33, 28, 4, 47, 12, 10, 19, 35, 29, 5, 27, 6, 17, 32, 11, 14, 39, 8, 45, 43, 30, 37, 7, 15, 40, 1] => 50084.79
[15, 0, 8, 14, 39, 33, 1, 3, 25, 4, 47, 38, 35, 27, 6, 17, 43, 45, 32, 19, 46, 22, 2, 21, 7, 37, 30, 26, 16, 42, 29, 12, 24, 13, 10, 11, 5, 36, 18, 20, 31, 23, 44, 34, 9, 41, 28, 40] => 53426.21
