[18, 7, 42, 32, 9, 8, 40, 2, 16, 49, 15, 45, 43, 33, 34, 35, 36, 23, 47, 19, 29, 1, 6, 41, 20, 22, 28, 46, 13, 51, 10, 50, 3, 48, 0, 21, 30, 17, 31, 38, 39, 37, 4, 14, 5, 24, 11, 27, 26, 12, 25, 44] => 10700.3
[44, 18, 42, 32, 50, 10, 11, 3, 33, 34, 17, 2, 16, 20, 30, 21, 0, 22, 19, 49, 45, 25, 46, 13, 51, 12, 26, 27, 24, 47, 36, 43, 15, 28, 29, 1, 6, 41, 40, 7, 8, 9, 14, 5, 4, 23, 37, 39, 38, 35, 48, 31] => 10134.05
[24, 27, 26, 25, 46, 12, 13, 51, 10, 50, 11, 3, 5, 44, 18, 40, 7, 8, 9, 32, 42, 14, 4, 39, 38, 2, 16, 20, 41, 6, 1, 29, 22, 0, 21, 30, 17, 31, 48, 35, 34, 33, 19, 49, 28, 15, 43, 36, 37, 23, 47, 45] => 8887.84
[5, 4, 37, 39, 38, 7, 8, 9, 32, 42, 24, 11, 27, 26, 12, 25, 28, 1, 6, 41, 16, 2, 40, 18, 44, 35, 34, 33, 43, 36, 23, 47, 45, 15, 46, 13, 51, 10, 50, 0, 21, 30, 22, 19, 49, 29, 20, 17, 31, 48, 14, 3] => 10668.32
[37, 23, 4, 5, 24, 27, 26, 25, 46, 12, 13, 51, 10, 29, 1, 6, 41, 20, 21, 0, 38, 39, 14, 3, 11, 50, 32, 42, 31, 48, 35, 34, 33, 43, 36, 47, 45, 15, 28, 49, 19, 22, 30, 17, 16, 2, 40, 8, 9, 7, 18, 44] => 9905.08
[24, 11, 27, 26, 25, 28, 22, 20, 41, 6, 1, 29, 46, 12, 13, 51, 10, 50, 3, 30, 17, 16, 2, 44, 32, 42, 0, 21, 19, 49, 15, 43, 45, 36, 9, 8, 7, 40, 18, 31, 48, 34, 33, 35, 38, 39, 37, 47, 23, 4, 14, 5] => 10676.21
[40, 7, 8, 9, 44, 31, 48, 34, 33, 43, 15, 45, 24, 11, 10, 50, 32, 42, 14, 2, 16, 20, 30, 17, 35, 36, 26, 51, 13, 12, 46, 25, 27, 3, 5, 4, 28, 29, 1, 6, 41, 38, 39, 37, 23, 47, 49, 19, 22, 0, 21, 18] => 11065.61
[40, 2, 16, 20, 30, 17, 21, 0, 19, 49, 15, 43, 34, 35, 38, 36, 47, 23, 37, 39, 31, 48, 33, 45, 24, 27, 26, 12, 51, 13, 25, 46, 28, 29, 1, 6, 41, 22, 11, 10, 50, 32, 42, 18, 44, 4, 5, 3, 14, 9, 8, 7] => 10241.32
[1, 6, 41, 20, 30, 36, 47, 23, 4, 37, 31, 17, 21, 0, 48, 34, 35, 44, 18, 9, 8, 7, 40, 2, 16, 22, 19, 28, 46, 25, 27, 11, 24, 3, 5, 14, 39, 38, 33, 43, 45, 26, 12, 13, 51, 10, 50, 32, 42, 15, 49, 29] => 9884.33
[16, 6, 1, 41, 29, 19, 49, 15, 43, 33, 34, 35, 38, 24, 11, 50, 10, 27, 45, 21, 30, 17, 2, 44, 14, 5, 4, 37, 39, 48, 31, 0, 28, 46, 25, 26, 12, 13, 51, 32, 9, 8, 7, 40, 18, 42, 3, 23, 47, 36, 22, 20] => 10595.75
[4, 14, 5, 11, 50, 3, 2, 16, 20, 41, 6, 1, 29, 28, 15, 36, 37, 39, 9, 8, 7, 40, 18, 44, 38, 42, 32, 10, 26, 27, 24, 23, 47, 25, 12, 51, 13, 46, 45, 43, 17, 30, 22, 19, 49, 33, 34, 0, 21, 31, 48, 35] => 11230.29
[5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 18, 44, 31, 48, 0, 43, 33, 34, 35, 14, 42, 9, 8, 7, 40, 19, 49, 28, 29, 22, 21, 30, 17, 2, 16, 20, 41, 6, 1, 15, 45, 47, 23, 36, 38, 39, 37, 4] => 9351.34
[4, 37, 39, 38, 35, 48, 0, 34, 33, 24, 11, 50, 10, 51, 13, 12, 46, 28, 29, 22, 19, 49, 43, 36, 23, 47, 45, 15, 25, 26, 27, 3, 44, 18, 7, 40, 2, 17, 30, 20, 41, 1, 6, 16, 21, 31, 8, 9, 32, 42, 14, 5] => 10054.2
[5, 3, 32, 42, 41, 6, 1, 29, 22, 0, 35, 36, 45, 24, 27, 12, 51, 13, 46, 28, 20, 16, 17, 30, 21, 38, 39, 37, 23, 47, 11, 50, 10, 26, 25, 15, 49, 19, 43, 33, 34, 48, 31, 2, 44, 18, 40, 7, 8, 9, 14, 4] => 11012.62
[29, 19, 49, 43, 36, 4, 37, 39, 38, 33, 34, 35, 48, 31, 44, 18, 20, 41, 1, 6, 16, 2, 17, 30, 21, 25, 51, 10, 50, 11, 27, 24, 23, 47, 45, 15, 28, 46, 13, 12, 26, 40, 7, 8, 9, 32, 42, 3, 5, 14, 0, 22] => 10963.32
[14, 4, 23, 47, 36, 38, 35, 48, 21, 30, 17, 31, 34, 33, 43, 19, 22, 29, 41, 1, 6, 16, 20, 0, 45, 24, 11, 10, 51, 13, 12, 15, 49, 28, 46, 25, 26, 27, 37, 39, 44, 2, 18, 40, 7, 8, 9, 42, 32, 50, 3, 5] => 10260.74
[44, 18, 40, 7, 8, 9, 32, 42, 39, 38, 36, 45, 15, 46, 13, 51, 10, 50, 11, 27, 26, 12, 25, 24, 3, 5, 14, 4, 23, 47, 37, 43, 49, 19, 28, 29, 41, 1, 6, 16, 2, 17, 30, 20, 22, 33, 34, 35, 48, 0, 21, 31] => 8917.7
[15, 29, 1, 6, 41, 30, 21, 0, 22, 19, 49, 43, 33, 34, 35, 18, 40, 7, 8, 9, 42, 14, 4, 37, 39, 38, 48, 31, 44, 17, 2, 16, 20, 28, 46, 25, 27, 11, 24, 23, 47, 45, 26, 12, 13, 51, 10, 50, 32, 3, 5, 36] => 10014.05
[33, 48, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 11, 45, 15, 49, 19, 29, 22, 43, 23, 4, 14, 37, 36, 39, 38, 35, 34, 0, 30, 20, 16, 2, 17, 21, 5, 3, 10, 51, 13, 12, 26, 46, 1, 6, 41, 28, 25, 27, 24, 47] => 10763.69
[39, 38, 36, 47, 26, 12, 51, 13, 33, 0, 21, 15, 28, 46, 25, 27, 24, 3, 5, 23, 17, 30, 20, 41, 1, 6, 16, 2, 18, 44, 31, 48, 34, 35, 9, 8, 7, 40, 22, 29, 19, 49, 43, 45, 11, 10, 50, 32, 42, 14, 4, 37] => 11346.62
[27, 25, 26, 12, 51, 13, 46, 28, 43, 34, 35, 19, 49, 15, 45, 47, 23, 4, 37, 36, 33, 22, 29, 1, 6, 41, 20, 30, 21, 0, 48, 31, 18, 7, 40, 2, 16, 17, 14, 3, 42, 32, 9, 8, 44, 38, 39, 5, 24, 50, 10, 11] => 10010.77
[20, 22, 30, 21, 48, 34, 35, 39, 37, 4, 5, 24, 27, 26, 25, 46, 15, 45, 43, 33, 0, 19, 49, 28, 29, 41, 1, 6, 16, 2, 18, 44, 38, 36, 47, 23, 14, 42, 32, 9, 8, 7, 40, 12, 13, 51, 10, 50, 11, 3, 31, 17] => 10417.76
[46, 25, 24, 3, 42, 9, 8, 23, 47, 45, 33, 34, 35, 38, 39, 36, 37, 4, 14, 5, 11, 27, 26, 12, 13, 51, 10, 50, 32, 7, 40, 2, 16, 41, 6, 1, 29, 20, 30, 22, 19, 49, 43, 0, 21, 17, 18, 44, 31, 48, 15, 28] => 9881.64
[43, 36, 37, 39, 38, 48, 17, 20, 29, 28, 49, 15, 45, 47, 23, 4, 42, 32, 9, 8, 2, 16, 41, 6, 1, 46, 13, 12, 25, 27, 26, 51, 10, 50, 11, 24, 3, 5, 14, 7, 40, 18, 44, 31, 35, 34, 33, 0, 21, 30, 22, 19] => 10088.77
[35, 38, 39, 37, 23, 47, 36, 0, 30, 20, 41, 6, 1, 29, 49, 50, 10, 51, 13, 12, 9, 8, 7, 40, 16, 22, 19, 28, 46, 25, 26, 27, 11, 24, 3, 5, 4, 14, 32, 42, 44, 18, 2, 17, 21, 31, 48, 43, 15, 45, 33, 34] => 10737.05
