[25, 6, 45, 44, 28, 46, 35, 36, 4, 26, 7, 34, 64, 37, 57, 9, 30, 54, 17, 40, 41, 63, 21, 60, 20, 68, 70, 59, 69, 19, 31, 49, 24, 8, 39, 5, 61, 27, 73, 47, 29, 1, 32, 72, 0, 42, 55, 22, 48, 23, 43, 2, 15, 62, 50, 16, 11, 38, 71, 52, 13, 10, 65, 58, 18, 53, 56, 14, 12, 51, 33, 66, 3, 67, 74, 75] => 771.05
[64, 37, 16, 61, 21, 63, 41, 42, 0, 72, 1, 29, 67, 50, 15, 48, 23, 17, 54, 30, 65, 58, 13, 52, 9, 71, 57, 6, 34, 7, 51, 26, 12, 56, 14, 4, 35, 70, 68, 60, 27, 73, 20, 46, 36, 19, 69, 59, 47, 31, 49, 24, 8, 38, 11, 3, 44, 28, 33, 45, 53, 18, 39, 43, 2, 22, 55, 40, 62, 32, 5, 74, 75, 66, 25, 10] => 801.77
[52, 6, 66, 74, 3, 44, 29, 73, 27, 1, 26, 51, 7, 34, 18, 53, 28, 20, 21, 63, 41, 62, 15, 2, 43, 37, 65, 64, 9, 71, 38, 8, 39, 50, 5, 32, 72, 61, 47, 4, 36, 69, 19, 14, 56, 12, 30, 54, 24, 31, 11, 25, 45, 33, 75, 16, 67, 46, 35, 59, 70, 68, 60, 0, 42, 40, 55, 22, 48, 23, 17, 49, 57, 10, 58, 13] => 813.55
[62, 15, 2, 43, 49, 24, 54, 17, 55, 42, 0, 72, 61, 73, 47, 46, 20, 27, 21, 41, 40, 63, 60, 68, 70, 59, 69, 19, 56, 14, 36, 35, 4, 28, 25, 71, 57, 9, 30, 38, 8, 31, 23, 48, 22, 50, 39, 11, 16, 75, 74, 67, 1, 29, 44, 26, 51, 12, 53, 18, 34, 7, 45, 33, 6, 37, 64, 65, 10, 58, 13, 52, 66, 3, 5, 32] => 700.35
[21, 63, 41, 31, 38, 37, 64, 65, 58, 13, 10, 52, 6, 34, 12, 56, 19, 14, 26, 74, 5, 15, 48, 62, 32, 61, 27, 73, 20, 68, 70, 35, 46, 16, 11, 39, 8, 24, 49, 43, 2, 50, 67, 29, 47, 28, 44, 3, 75, 25, 66, 33, 51, 53, 18, 7, 45, 1, 72, 0, 42, 40, 55, 22, 23, 17, 54, 30, 9, 71, 57, 4, 36, 69, 59, 60] => 811.33
[41, 40, 39, 11, 16, 5, 74, 75, 66, 25, 71, 38, 8, 31, 48, 55, 22, 62, 15, 2, 50, 32, 0, 21, 61, 72, 1, 67, 3, 33, 34, 52, 37, 64, 30, 9, 57, 6, 45, 51, 26, 12, 53, 18, 58, 65, 10, 13, 7, 44, 69, 59, 70, 68, 35, 46, 29, 43, 49, 24, 54, 17, 23, 42, 27, 73, 47, 28, 4, 36, 19, 56, 14, 20, 60, 63] => 795.2
[22, 48, 15, 50, 16, 25, 11, 39, 2, 43, 31, 8, 38, 24, 54, 30, 9, 64, 65, 10, 37, 57, 71, 49, 17, 23, 66, 33, 45, 18, 13, 58, 53, 19, 69, 59, 70, 68, 73, 1, 32, 5, 74, 75, 62, 42, 40, 41, 0, 72, 29, 44, 51, 7, 34, 52, 6, 3, 67, 61, 21, 27, 47, 26, 12, 56, 14, 28, 4, 36, 35, 46, 20, 60, 63, 55] => 766.69
[22, 48, 71, 65, 10, 52, 3, 1, 61, 72, 50, 16, 39, 11, 57, 9, 64, 37, 25, 0, 42, 40, 41, 63, 21, 27, 73, 20, 60, 68, 70, 35, 46, 47, 4, 14, 56, 12, 18, 7, 66, 75, 74, 67, 5, 15, 62, 32, 29, 28, 44, 26, 51, 33, 45, 6, 34, 13, 58, 53, 19, 69, 59, 36, 2, 43, 31, 49, 17, 54, 24, 30, 38, 8, 23, 55] => 801.76
[3, 44, 29, 1, 72, 61, 21, 46, 14, 56, 12, 51, 26, 28, 47, 73, 27, 20, 35, 70, 68, 60, 63, 41, 62, 15, 48, 23, 2, 43, 39, 16, 75, 4, 19, 69, 59, 36, 0, 22, 55, 40, 42, 32, 33, 45, 53, 18, 57, 71, 11, 6, 34, 13, 58, 65, 38, 8, 25, 66, 7, 52, 10, 64, 37, 9, 30, 24, 54, 17, 49, 31, 50, 5, 67, 74] => 806.74
[31, 49, 17, 54, 24, 8, 38, 71, 57, 46, 35, 69, 59, 70, 68, 21, 61, 72, 1, 67, 74, 16, 50, 15, 48, 23, 2, 43, 30, 64, 65, 10, 37, 9, 22, 55, 40, 63, 41, 42, 0, 62, 32, 5, 75, 34, 13, 58, 52, 6, 66, 3, 44, 33, 45, 51, 26, 56, 14, 19, 36, 4, 12, 53, 18, 7, 28, 47, 20, 60, 27, 73, 29, 25, 11, 39] => 770.2
[3, 7, 34, 13, 58, 18, 29, 60, 63, 41, 48, 2, 43, 49, 24, 8, 31, 5, 73, 27, 20, 46, 4, 28, 44, 33, 45, 6, 52, 10, 65, 64, 30, 54, 17, 23, 55, 40, 42, 22, 15, 50, 16, 51, 26, 12, 53, 56, 14, 36, 35, 19, 69, 59, 70, 68, 47, 66, 37, 9, 57, 71, 38, 39, 11, 25, 75, 74, 61, 21, 0, 62, 32, 72, 1, 67] => 792.98
[43, 11, 25, 45, 12, 14, 28, 3, 75, 8, 24, 49, 31, 39, 16, 50, 5, 1, 21, 41, 63, 60, 68, 35, 46, 20, 47, 4, 36, 70, 59, 69, 19, 56, 53, 13, 58, 37, 9, 38, 71, 57, 6, 7, 18, 34, 52, 10, 65, 64, 30, 54, 17, 23, 48, 22, 55, 40, 42, 0, 72, 61, 27, 73, 29, 44, 26, 51, 33, 66, 74, 67, 32, 62, 15, 2] => 703.97
[25, 11, 57, 10, 52, 34, 7, 45, 33, 28, 35, 68, 60, 27, 61, 72, 15, 2, 49, 17, 23, 62, 32, 67, 44, 26, 12, 53, 18, 58, 13, 6, 39, 16, 50, 5, 74, 75, 66, 3, 21, 63, 41, 40, 42, 0, 1, 73, 20, 46, 36, 19, 69, 59, 70, 8, 38, 71, 9, 37, 64, 65, 30, 54, 24, 31, 43, 48, 55, 22, 29, 47, 4, 14, 56, 51] => 804.47
[28, 26, 12, 18, 52, 9, 30, 71, 11, 67, 29, 20, 68, 70, 59, 69, 19, 4, 32, 22, 55, 40, 63, 41, 42, 0, 72, 61, 21, 60, 27, 73, 1, 43, 49, 17, 54, 24, 31, 39, 8, 38, 57, 6, 34, 7, 47, 46, 35, 36, 14, 56, 53, 13, 58, 10, 65, 64, 37, 25, 75, 74, 5, 50, 15, 62, 48, 23, 2, 16, 66, 33, 45, 51, 3, 44] => 751.75
[29, 46, 35, 68, 20, 16, 39, 71, 11, 25, 6, 52, 10, 65, 64, 37, 57, 15, 62, 22, 55, 40, 63, 41, 42, 0, 32, 5, 3, 51, 26, 44, 28, 4, 14, 12, 53, 18, 7, 45, 66, 75, 50, 48, 23, 17, 54, 24, 30, 9, 38, 8, 49, 31, 43, 2, 72, 61, 69, 59, 70, 60, 21, 27, 73, 33, 34, 13, 58, 56, 19, 36, 47, 1, 67, 74] => 806.51
[68, 70, 59, 35, 46, 16, 39, 24, 54, 17, 49, 8, 38, 71, 11, 23, 48, 62, 22, 55, 40, 63, 41, 42, 0, 72, 32, 74, 75, 66, 51, 56, 14, 19, 69, 36, 4, 28, 26, 12, 53, 18, 34, 13, 58, 65, 64, 37, 9, 57, 6, 7, 45, 33, 3, 1, 27, 73, 47, 44, 29, 67, 5, 50, 15, 2, 43, 31, 30, 10, 52, 25, 61, 21, 60, 20] => 743.58
[37, 10, 52, 13, 58, 65, 64, 30, 15, 0, 21, 63, 41, 42, 40, 55, 22, 48, 49, 31, 66, 45, 33, 44, 28, 4, 14, 56, 12, 26, 51, 53, 18, 7, 34, 6, 43, 2, 50, 16, 11, 25, 75, 3, 73, 27, 60, 68, 20, 32, 62, 23, 17, 54, 24, 8, 38, 71, 39, 5, 29, 47, 35, 70, 59, 69, 19, 36, 46, 61, 72, 1, 67, 74, 57, 9] => 771.18
[68, 35, 70, 59, 69, 36, 4, 8, 30, 65, 10, 64, 37, 9, 57, 71, 38, 39, 16, 75, 66, 6, 7, 45, 51, 26, 12, 14, 19, 56, 53, 18, 58, 13, 52, 34, 28, 46, 27, 61, 0, 42, 55, 40, 41, 63, 21, 72, 2, 43, 31, 11, 25, 33, 44, 47, 73, 1, 32, 62, 22, 15, 5, 74, 3, 29, 67, 50, 49, 24, 54, 17, 23, 48, 60, 20] => 798.13
[12, 26, 44, 28, 47, 1, 61, 72, 0, 21, 60, 70, 59, 69, 19, 36, 4, 67, 16, 39, 43, 2, 15, 50, 66, 33, 56, 14, 3, 74, 75, 11, 57, 71, 38, 8, 31, 41, 63, 40, 55, 22, 42, 27, 73, 29, 10, 65, 64, 37, 9, 30, 54, 24, 49, 17, 23, 48, 62, 32, 5, 25, 6, 34, 7, 51, 46, 35, 68, 20, 45, 52, 13, 58, 18, 53] => 796.28
[1, 73, 29, 67, 74, 33, 53, 18, 58, 13, 52, 11, 2, 48, 23, 17, 49, 43, 25, 3, 44, 26, 51, 45, 6, 57, 37, 64, 65, 10, 34, 7, 66, 75, 5, 32, 42, 40, 41, 0, 72, 62, 15, 22, 55, 63, 21, 27, 20, 47, 46, 35, 36, 4, 28, 12, 56, 14, 19, 69, 59, 70, 68, 60, 61, 50, 8, 38, 71, 9, 30, 54, 24, 31, 39, 16] => 749.17
