[53, 52, 62, 61, 60, 59, 50, 41, 42, 33, 43, 51, 69, 68, 65, 55, 54, 46, 56, 66, 67, 58, 49, 48, 57, 64, 73, 74, 75, 76, 77, 84, 85, 94, 93, 92, 91, 90, 82, 81, 45, 36, 27, 18, 19, 29, 28, 37, 63, 72, 83, 97, 98, 89, 88, 32, 24, 15, 8, 7, 6, 5, 2, 11, 12, 22, 21, 30, 38, 47, 39, 31, 20, 10, 9, 0, 1, 3, 4, 13, 14, 23, 40, 70, 79, 78, 86, 95, 96, 87, 80, 71, 34, 25, 16, 17, 26, 35, 44] => 2079.37
[37, 28, 29, 22, 23, 31, 39, 38, 47, 55, 64, 74, 75, 76, 40, 30, 21, 20, 73, 83, 93, 92, 91, 90, 9, 0, 1, 10, 60, 69, 88, 97, 98, 89, 80, 71, 62, 52, 51, 32, 3, 2, 11, 68, 77, 96, 95, 94, 82, 81, 72, 45, 36, 27, 18, 19, 12, 16, 17, 8, 7, 6, 5, 4, 13, 14, 15, 33, 41, 49, 50, 59, 48, 57, 56, 65, 66, 67, 58, 42, 34, 25, 24, 26, 35, 43, 44, 53, 61, 70, 79, 78, 87, 86, 85, 84, 63, 54, 46] => 2432.13
[36, 45, 54, 63, 83, 84, 50, 21, 12, 11, 10, 2, 3, 13, 14, 15, 24, 25, 26, 34, 35, 43, 33, 32, 30, 29, 28, 37, 57, 58, 77, 76, 75, 74, 67, 66, 65, 64, 55, 46, 22, 17, 16, 23, 31, 40, 49, 48, 56, 73, 72, 81, 82, 90, 91, 92, 93, 95, 94, 85, 86, 68, 69, 79, 78, 87, 88, 89, 98, 97, 96, 19, 9, 0, 1, 20, 44, 51, 52, 53, 62, 71, 80, 70, 61, 60, 59, 47, 38, 39, 41, 42, 8, 7, 6, 5, 4, 18, 27] => 2081.38
[10, 11, 12, 20, 64, 72, 81, 92, 93, 91, 90, 82, 83, 85, 94, 95, 86, 84, 74, 73, 63, 54, 45, 28, 21, 22, 14, 15, 23, 32, 48, 57, 58, 66, 67, 76, 78, 80, 71, 62, 53, 61, 69, 70, 79, 77, 68, 60, 59, 29, 19, 18, 27, 36, 46, 55, 65, 75, 87, 88, 89, 98, 97, 96, 56, 37, 30, 31, 40, 41, 42, 33, 24, 25, 34, 43, 44, 52, 51, 50, 49, 47, 38, 39, 35, 26, 16, 17, 8, 7, 6, 5, 4, 13, 3, 2, 1, 0, 9] => 1870.28
[24, 48, 64, 72, 82, 83, 70, 61, 60, 47, 28, 29, 30, 32, 34, 25, 16, 8, 17, 26, 35, 81, 90, 91, 92, 93, 84, 75, 56, 46, 45, 54, 55, 65, 77, 78, 88, 89, 98, 97, 96, 95, 94, 76, 57, 4, 5, 6, 7, 23, 31, 38, 39, 40, 41, 44, 53, 62, 71, 80, 79, 69, 68, 67, 66, 58, 59, 52, 43, 33, 42, 51, 50, 37, 36, 27, 18, 9, 0, 1, 3, 2, 10, 11, 13, 12, 19, 20, 49, 87, 86, 85, 74, 73, 63, 21, 22, 14, 15] => 2332.63
[1, 2, 3, 13, 14, 15, 8, 7, 6, 5, 4, 22, 30, 38, 39, 50, 43, 35, 26, 17, 16, 24, 23, 37, 47, 64, 72, 81, 90, 91, 92, 82, 83, 74, 58, 59, 51, 34, 25, 28, 36, 27, 20, 21, 12, 11, 10, 19, 29, 52, 62, 71, 80, 79, 68, 57, 46, 45, 54, 63, 55, 56, 48, 49, 40, 31, 32, 41, 42, 33, 44, 53, 61, 70, 69, 77, 67, 66, 65, 73, 96, 97, 98, 89, 88, 87, 78, 76, 75, 84, 85, 94, 93, 95, 86, 60, 18, 9, 0] => 1985.2
[80, 79, 70, 11, 2, 10, 19, 18, 27, 29, 12, 13, 3, 1, 0, 9, 28, 64, 94, 95, 93, 92, 91, 90, 82, 81, 72, 73, 63, 54, 46, 45, 36, 37, 38, 39, 47, 55, 56, 57, 58, 60, 61, 62, 53, 25, 14, 4, 5, 15, 24, 32, 31, 30, 20, 21, 22, 23, 33, 42, 41, 40, 51, 43, 34, 35, 44, 52, 66, 67, 76, 87, 86, 85, 84, 83, 75, 74, 65, 48, 49, 50, 59, 69, 68, 77, 88, 89, 98, 97, 96, 78, 26, 17, 8, 7, 6, 16, 71] => 2150.88
[83, 50, 42, 33, 25, 24, 32, 40, 48, 57, 58, 60, 62, 53, 43, 34, 23, 22, 13, 3, 4, 5, 14, 15, 16, 26, 35, 44, 79, 78, 86, 87, 80, 71, 70, 69, 61, 52, 51, 41, 31, 30, 20, 10, 2, 11, 59, 88, 89, 98, 97, 96, 95, 75, 74, 73, 65, 64, 55, 56, 37, 28, 19, 1, 0, 9, 18, 27, 36, 66, 67, 76, 77, 68, 49, 29, 21, 12, 6, 7, 8, 17, 39, 38, 47, 46, 45, 54, 63, 72, 81, 90, 91, 93, 94, 85, 84, 92, 82] => 2135.43
[94, 95, 93, 92, 91, 90, 81, 63, 54, 45, 36, 28, 37, 46, 56, 57, 60, 70, 69, 68, 58, 48, 47, 38, 40, 33, 42, 41, 66, 75, 84, 83, 82, 72, 73, 9, 0, 1, 2, 22, 23, 14, 15, 24, 61, 79, 77, 76, 67, 51, 26, 17, 8, 7, 6, 16, 53, 62, 71, 78, 87, 86, 96, 97, 98, 89, 88, 80, 52, 44, 43, 35, 34, 25, 32, 31, 30, 20, 21, 12, 11, 13, 5, 4, 3, 10, 19, 18, 27, 29, 39, 49, 50, 59, 55, 64, 65, 74, 85] => 2079.54
[95, 86, 75, 74, 65, 64, 55, 29, 30, 31, 32, 23, 24, 15, 14, 13, 2, 11, 53, 71, 80, 79, 89, 98, 97, 88, 87, 83, 82, 72, 73, 20, 21, 22, 25, 34, 43, 50, 59, 57, 48, 47, 38, 39, 49, 40, 41, 42, 33, 12, 10, 1, 0, 9, 18, 63, 81, 90, 66, 58, 56, 37, 28, 36, 46, 54, 45, 27, 19, 3, 4, 5, 6, 7, 8, 17, 16, 26, 35, 44, 92, 91, 93, 94, 85, 84, 76, 67, 68, 69, 60, 61, 51, 52, 62, 70, 77, 78, 96] => 2232.71
