[98, 37, 23, 83, 71, 20, 73, 58, 78, 87, 52, 18, 38, 95, 77, 51, 47, 99, 13, 29, 84, 72, 63, 39, 53, 1, 43, 49, 81, 12, 94, 88, 30, 79, 96, 3, 64, 25, 65, 69, 21, 15, 93, 17, 16, 14, 10, 31, 44, 22, 67, 75, 32, 36, 4, 68, 66, 41, 55, 74, 62, 46, 90, 97, 59, 56, 8, 6, 85, 34, 26, 11, 42, 40, 70, 2, 80, 24, 60, 50, 76, 61, 19, 54, 45, 28, 33, 82, 86, 57, 27, 92, 0, 7, 91, 5, 48, 89, 9, 35] => 38181.25
[23, 90, 97, 22, 44, 14, 16, 10, 31, 57, 63, 39, 53, 1, 81, 11, 26, 34, 85, 19, 76, 46, 83, 78, 52, 89, 48, 5, 41, 88, 94, 75, 32, 12, 30, 25, 69, 21, 15, 87, 18, 91, 36, 4, 95, 29, 33, 60, 79, 3, 64, 65, 93, 17, 62, 0, 66, 43, 49, 72, 8, 56, 86, 24, 80, 68, 67, 84, 38, 77, 51, 47, 99, 40, 70, 13, 28, 73, 20, 71, 9, 74, 96, 55, 7, 27, 92, 50, 6, 54, 82, 45, 2, 42, 61, 59, 58, 35, 98, 37] => 47785.78
[28, 99, 70, 40, 34, 59, 22, 97, 76, 19, 45, 42, 2, 13, 47, 51, 77, 95, 27, 92, 57, 60, 72, 68, 41, 88, 53, 39, 63, 66, 7, 30, 79, 55, 96, 74, 5, 48, 89, 9, 83, 17, 93, 87, 52, 18, 0, 56, 6, 54, 82, 33, 29, 38, 84, 49, 43, 91, 3, 64, 25, 65, 69, 21, 15, 78, 62, 1, 81, 94, 12, 75, 32, 36, 4, 67, 46, 71, 23, 37, 98, 35, 20, 73, 58, 16, 14, 10, 31, 90, 44, 61, 85, 26, 11, 8, 80, 24, 50, 86] => 40378.86
[6, 8, 86, 24, 80, 84, 29, 99, 40, 70, 57, 66, 27, 92, 23, 37, 98, 35, 58, 59, 61, 34, 85, 26, 33, 28, 95, 4, 36, 32, 75, 12, 67, 50, 22, 44, 14, 16, 73, 20, 71, 9, 48, 5, 91, 7, 74, 18, 52, 15, 87, 78, 89, 62, 46, 10, 31, 90, 0, 96, 3, 64, 55, 41, 39, 81, 94, 1, 53, 25, 65, 69, 21, 93, 17, 83, 97, 76, 19, 11, 54, 82, 45, 42, 2, 13, 47, 51, 77, 38, 88, 79, 30, 63, 43, 49, 72, 68, 60, 56] => 41881.64
[63, 68, 80, 24, 60, 92, 62, 89, 18, 52, 78, 37, 98, 35, 34, 42, 40, 70, 99, 47, 13, 2, 14, 16, 20, 71, 46, 90, 31, 73, 58, 10, 44, 29, 38, 95, 77, 51, 4, 88, 30, 41, 7, 91, 0, 97, 22, 85, 26, 11, 54, 82, 84, 67, 39, 53, 66, 5, 48, 74, 3, 96, 55, 79, 1, 81, 94, 12, 75, 32, 36, 28, 45, 33, 9, 83, 23, 17, 93, 87, 15, 21, 69, 65, 25, 64, 27, 57, 8, 6, 56, 19, 61, 59, 76, 86, 50, 72, 49, 43] => 43667.48
[20, 73, 14, 16, 58, 98, 35, 44, 42, 40, 70, 99, 47, 49, 43, 72, 67, 84, 38, 95, 77, 51, 29, 60, 0, 62, 5, 48, 74, 91, 66, 50, 33, 45, 2, 13, 28, 82, 54, 76, 97, 46, 37, 23, 17, 93, 21, 15, 87, 18, 96, 55, 79, 30, 88, 41, 7, 27, 92, 57, 4, 36, 32, 75, 12, 94, 81, 1, 53, 39, 63, 68, 80, 24, 86, 8, 6, 56, 19, 11, 26, 85, 34, 61, 59, 22, 90, 31, 10, 71, 9, 89, 78, 52, 3, 64, 25, 65, 69, 83] => 34722.29
[62, 92, 57, 60, 24, 80, 72, 68, 66, 7, 74, 18, 48, 5, 91, 53, 1, 63, 39, 41, 25, 64, 52, 87, 71, 90, 97, 22, 76, 56, 6, 28, 99, 70, 40, 34, 44, 10, 73, 58, 16, 14, 50, 67, 84, 82, 54, 11, 19, 46, 9, 83, 37, 23, 93, 15, 21, 69, 65, 3, 96, 55, 79, 30, 88, 49, 38, 29, 95, 77, 4, 36, 32, 75, 12, 26, 85, 61, 59, 31, 20, 35, 98, 17, 78, 89, 86, 8, 33, 45, 42, 2, 13, 47, 51, 94, 81, 43, 27, 0] => 44182.19
[3, 96, 55, 66, 63, 39, 53, 1, 29, 47, 13, 2, 42, 11, 62, 89, 48, 5, 0, 6, 33, 28, 45, 82, 54, 78, 52, 15, 87, 17, 98, 35, 71, 20, 73, 58, 46, 56, 8, 86, 50, 57, 64, 25, 65, 69, 21, 93, 23, 37, 38, 4, 36, 32, 75, 68, 27, 92, 97, 22, 76, 80, 72, 49, 43, 81, 94, 12, 95, 77, 51, 99, 40, 70, 84, 67, 24, 60, 90, 16, 14, 44, 59, 61, 34, 85, 26, 19, 31, 10, 83, 9, 79, 30, 88, 41, 7, 91, 74, 18] => 45807.46
[99, 51, 4, 36, 32, 75, 12, 53, 88, 55, 74, 5, 48, 89, 20, 73, 16, 14, 34, 85, 26, 11, 96, 3, 64, 79, 30, 41, 7, 91, 0, 90, 97, 22, 76, 72, 43, 63, 39, 1, 94, 81, 49, 67, 84, 29, 13, 28, 54, 44, 71, 9, 62, 27, 92, 56, 6, 82, 42, 2, 45, 33, 8, 18, 52, 78, 59, 61, 19, 86, 50, 57, 66, 68, 80, 24, 60, 46, 83, 23, 17, 87, 15, 65, 25, 69, 21, 93, 37, 98, 35, 58, 10, 31, 38, 95, 77, 47, 70, 40] => 44965.28
[26, 85, 34, 61, 59, 22, 97, 90, 9, 89, 52, 15, 21, 69, 65, 25, 64, 3, 96, 68, 12, 32, 75, 94, 81, 1, 43, 49, 72, 80, 60, 57, 27, 92, 46, 71, 20, 73, 58, 35, 98, 93, 87, 76, 56, 6, 8, 86, 50, 24, 45, 2, 42, 19, 44, 31, 14, 16, 10, 74, 18, 78, 17, 23, 37, 83, 13, 70, 40, 99, 47, 84, 67, 66, 0, 62, 5, 48, 91, 7, 55, 79, 30, 41, 88, 53, 39, 63, 38, 36, 4, 51, 77, 95, 29, 28, 33, 82, 54, 11] => 37965.23
[26, 11, 54, 82, 33, 67, 72, 68, 55, 3, 65, 25, 64, 96, 7, 24, 80, 95, 77, 51, 4, 36, 32, 75, 12, 94, 47, 99, 13, 38, 81, 1, 78, 87, 15, 69, 21, 93, 17, 58, 73, 20, 71, 83, 35, 98, 37, 23, 9, 31, 34, 42, 40, 70, 85, 61, 14, 16, 10, 44, 59, 76, 56, 8, 86, 60, 41, 88, 30, 79, 74, 48, 89, 52, 18, 91, 57, 50, 6, 45, 2, 28, 29, 84, 49, 43, 63, 39, 53, 66, 0, 5, 62, 46, 90, 97, 22, 92, 27, 19] => 42687.67
[84, 10, 58, 98, 35, 73, 20, 71, 9, 78, 74, 18, 52, 69, 21, 15, 87, 93, 17, 23, 37, 83, 34, 85, 26, 42, 2, 13, 51, 77, 95, 29, 11, 61, 59, 22, 44, 14, 16, 31, 90, 97, 46, 89, 48, 5, 62, 0, 92, 27, 68, 72, 49, 43, 81, 36, 4, 99, 40, 70, 47, 38, 63, 39, 12, 32, 75, 94, 1, 53, 88, 30, 79, 41, 54, 82, 45, 28, 33, 57, 66, 7, 55, 96, 3, 64, 25, 65, 91, 76, 19, 56, 6, 8, 86, 50, 60, 24, 80, 67] => 39500.36
[23, 17, 93, 87, 78, 83, 9, 76, 33, 28, 2, 13, 29, 47, 99, 70, 40, 42, 45, 82, 54, 6, 8, 86, 50, 91, 7, 41, 88, 30, 79, 96, 3, 64, 25, 65, 69, 21, 15, 52, 89, 62, 5, 48, 18, 74, 55, 53, 39, 1, 43, 49, 4, 36, 32, 75, 12, 94, 81, 90, 20, 73, 58, 16, 14, 10, 31, 44, 97, 22, 59, 61, 19, 56, 11, 85, 34, 26, 51, 77, 95, 38, 84, 67, 80, 24, 60, 57, 27, 92, 0, 66, 63, 72, 68, 46, 71, 35, 98, 37] => 34469.35
