[43, 67, 42, 16, 20, 11, 59, 68, 30, 46, 57, 49, 51, 9, 52, 17, 7, 27, 13, 29, 19, 48, 54, 25, 18, 1, 6, 31, 2, 41, 5, 40, 26, 45, 12, 28, 35, 0, 22, 37, 58, 21, 62, 65, 4, 50, 55, 64, 63, 10, 47, 66, 32, 33, 8, 39, 60, 44, 24, 38, 61, 53, 36, 15, 69, 34, 14, 23, 56, 3] => 1076.97
[5, 41, 17, 25, 54, 48, 7, 27, 43, 67, 42, 16, 8, 20, 52, 21, 58, 37, 22, 15, 0, 35, 69, 30, 68, 34, 62, 1, 3, 65, 12, 28, 46, 64, 55, 50, 51, 9, 4, 49, 57, 36, 63, 10, 66, 47, 53, 61, 32, 33, 11, 59, 56, 14, 23, 18, 6, 31, 2, 44, 24, 38, 60, 39, 45, 26, 29, 19, 13, 40] => 1019.57
[5, 65, 62, 21, 52, 4, 49, 57, 36, 46, 15, 22, 0, 35, 28, 69, 12, 37, 17, 41, 42, 8, 60, 38, 24, 44, 13, 27, 7, 25, 48, 54, 18, 34, 30, 68, 58, 56, 14, 23, 6, 19, 29, 16, 32, 53, 66, 55, 50, 59, 11, 20, 33, 26, 45, 39, 61, 47, 10, 63, 64, 51, 9, 3, 1, 31, 2, 43, 67, 40] => 1038.91
[37, 22, 15, 0, 35, 34, 56, 14, 23, 18, 7, 26, 44, 38, 24, 45, 29, 19, 13, 41, 5, 4, 52, 3, 17, 40, 42, 8, 39, 60, 61, 53, 10, 63, 64, 50, 55, 47, 66, 51, 9, 46, 68, 30, 69, 28, 12, 1, 6, 31, 2, 43, 67, 33, 20, 16, 27, 48, 54, 25, 11, 32, 59, 49, 57, 36, 65, 62, 21, 58] => 1088.42
[43, 67, 42, 40, 65, 21, 58, 37, 46, 36, 57, 49, 52, 1, 6, 25, 54, 48, 7, 33, 32, 53, 61, 38, 24, 44, 45, 31, 18, 23, 14, 56, 62, 55, 66, 47, 10, 64, 63, 22, 28, 69, 34, 68, 30, 12, 35, 0, 15, 50, 59, 11, 16, 2, 27, 13, 19, 29, 26, 39, 60, 8, 20, 51, 9, 4, 5, 3, 17, 41] => 1098.94
[40, 41, 5, 52, 57, 36, 49, 64, 63, 10, 61, 38, 24, 44, 11, 12, 69, 34, 14, 54, 48, 25, 7, 27, 13, 39, 60, 8, 2, 18, 23, 56, 4, 9, 46, 15, 22, 37, 21, 65, 43, 67, 26, 45, 42, 0, 35, 28, 30, 68, 58, 62, 19, 29, 32, 55, 50, 51, 31, 6, 1, 3, 17, 16, 20, 33, 53, 47, 66, 59] => 1360.39
[3, 65, 21, 37, 46, 36, 57, 49, 63, 64, 50, 9, 4, 52, 7, 25, 54, 48, 27, 13, 19, 29, 43, 67, 60, 44, 24, 38, 33, 20, 11, 61, 53, 47, 10, 55, 66, 32, 59, 51, 22, 12, 69, 28, 35, 0, 15, 16, 8, 39, 45, 26, 42, 30, 68, 34, 58, 62, 5, 40, 41, 56, 14, 23, 18, 1, 6, 31, 2, 17] => 1034.57
[62, 21, 46, 57, 49, 4, 9, 51, 59, 11, 20, 67, 13, 27, 7, 2, 43, 42, 16, 40, 5, 41, 8, 39, 44, 24, 45, 26, 29, 19, 31, 17, 3, 1, 6, 18, 25, 48, 54, 23, 14, 34, 69, 28, 12, 30, 68, 58, 32, 53, 66, 55, 64, 50, 52, 65, 37, 22, 35, 0, 15, 36, 63, 10, 47, 61, 38, 60, 33, 56] => 1053.71
[25, 54, 48, 13, 43, 58, 34, 69, 28, 12, 30, 68, 1, 31, 27, 7, 6, 18, 23, 14, 56, 62, 21, 46, 57, 52, 17, 3, 65, 37, 22, 15, 36, 64, 10, 66, 55, 50, 49, 4, 5, 40, 20, 32, 53, 61, 39, 26, 29, 19, 45, 44, 24, 38, 60, 33, 0, 35, 63, 47, 8, 67, 42, 16, 11, 59, 51, 9, 41, 2] => 1223.5
[62, 21, 65, 3, 17, 44, 24, 38, 61, 53, 32, 33, 20, 8, 60, 39, 45, 26, 67, 43, 29, 19, 13, 2, 7, 27, 48, 54, 25, 31, 41, 40, 59, 55, 50, 51, 37, 68, 30, 12, 22, 66, 47, 11, 16, 42, 5, 58, 34, 69, 28, 35, 63, 10, 64, 36, 15, 0, 46, 57, 49, 9, 4, 52, 1, 6, 18, 23, 14, 56] => 1075.04
[6, 18, 14, 34, 69, 15, 36, 46, 22, 37, 58, 62, 5, 26, 45, 44, 24, 38, 61, 53, 32, 60, 39, 8, 51, 9, 4, 16, 42, 43, 13, 27, 7, 2, 10, 64, 63, 57, 21, 65, 66, 47, 11, 40, 31, 25, 54, 48, 19, 29, 67, 59, 55, 50, 49, 17, 3, 1, 23, 56, 0, 35, 28, 12, 30, 68, 52, 33, 20, 41] => 1333.79
[52, 11, 20, 16, 42, 40, 41, 31, 6, 1, 23, 14, 18, 25, 54, 48, 27, 7, 2, 13, 19, 29, 33, 32, 66, 53, 60, 39, 8, 67, 43, 5, 21, 37, 12, 28, 30, 68, 58, 62, 65, 17, 3, 56, 34, 69, 35, 0, 26, 45, 44, 24, 38, 61, 47, 10, 55, 49, 36, 63, 64, 50, 59, 51, 9, 4, 57, 46, 15, 22] => 1064.23
[39, 8, 67, 43, 41, 40, 20, 33, 16, 42, 2, 27, 13, 19, 29, 26, 45, 53, 47, 10, 55, 66, 38, 24, 44, 11, 49, 36, 15, 0, 35, 22, 52, 5, 17, 23, 14, 34, 68, 30, 69, 28, 12, 63, 64, 50, 57, 46, 37, 21, 65, 3, 6, 1, 62, 58, 56, 18, 54, 48, 25, 7, 31, 4, 9, 51, 59, 32, 61, 60] => 1115.76
[37, 5, 67, 26, 45, 29, 19, 13, 43, 51, 9, 49, 4, 52, 42, 16, 8, 33, 20, 11, 40, 41, 31, 2, 7, 25, 54, 48, 27, 39, 60, 44, 24, 38, 61, 15, 0, 35, 28, 12, 22, 46, 66, 47, 55, 64, 50, 57, 36, 63, 10, 53, 32, 59, 17, 3, 23, 14, 56, 62, 65, 1, 6, 18, 21, 58, 34, 69, 30, 68] => 1133.43
[49, 9, 4, 40, 67, 43, 19, 29, 45, 26, 13, 27, 2, 52, 46, 15, 12, 28, 35, 0, 22, 37, 21, 58, 68, 30, 69, 34, 62, 65, 5, 41, 17, 3, 31, 7, 25, 48, 54, 18, 23, 14, 56, 1, 6, 42, 8, 39, 60, 44, 24, 38, 61, 53, 32, 59, 11, 33, 20, 16, 51, 50, 64, 55, 66, 47, 10, 63, 36, 57] => 936.84
[63, 64, 50, 49, 57, 36, 46, 65, 1, 6, 3, 52, 15, 0, 35, 28, 12, 22, 37, 58, 68, 30, 69, 34, 21, 62, 18, 54, 48, 25, 2, 42, 16, 8, 39, 60, 33, 11, 4, 9, 51, 59, 32, 53, 61, 20, 40, 17, 23, 14, 56, 5, 38, 24, 44, 45, 26, 67, 43, 29, 19, 13, 27, 7, 31, 41, 55, 66, 47, 10] => 1021.03
[0, 35, 46, 9, 11, 20, 16, 42, 41, 23, 14, 3, 17, 1, 6, 18, 54, 48, 25, 39, 44, 24, 38, 60, 33, 49, 36, 57, 13, 19, 29, 43, 40, 52, 22, 30, 68, 37, 5, 67, 26, 45, 8, 59, 50, 55, 53, 61, 32, 51, 4, 65, 56, 62, 21, 58, 34, 69, 28, 12, 31, 7, 27, 2, 64, 63, 10, 47, 66, 15] => 1288.52
[56, 50, 55, 66, 53, 61, 33, 20, 8, 67, 43, 11, 9, 4, 52, 3, 17, 5, 40, 16, 42, 41, 1, 14, 34, 69, 28, 35, 0, 15, 46, 21, 62, 58, 37, 68, 30, 12, 22, 49, 51, 59, 32, 47, 10, 64, 63, 36, 57, 65, 6, 7, 25, 54, 48, 27, 13, 19, 29, 26, 45, 44, 24, 38, 60, 39, 2, 31, 18, 23] => 1026.79
[63, 64, 50, 49, 57, 36, 46, 15, 0, 35, 58, 14, 23, 8, 39, 60, 33, 20, 52, 22, 69, 34, 68, 30, 28, 12, 37, 40, 67, 43, 13, 2, 31, 56, 62, 21, 65, 7, 27, 48, 54, 25, 18, 6, 1, 3, 17, 42, 16, 11, 32, 53, 47, 66, 55, 59, 51, 9, 4, 5, 41, 19, 29, 26, 45, 44, 24, 38, 61, 10] => 1045.99
[68, 58, 21, 65, 62, 56, 14, 23, 18, 7, 27, 13, 43, 67, 29, 19, 48, 54, 25, 50, 64, 63, 36, 57, 1, 6, 31, 2, 39, 60, 32, 53, 61, 38, 24, 44, 45, 26, 8, 33, 20, 46, 15, 0, 35, 28, 12, 37, 3, 17, 41, 42, 16, 40, 5, 52, 4, 49, 9, 51, 11, 59, 55, 10, 47, 66, 22, 30, 69, 34] => 1073.71
[57, 36, 15, 22, 69, 34, 68, 58, 65, 16, 8, 42, 40, 56, 14, 23, 3, 17, 39, 60, 44, 24, 38, 61, 59, 51, 9, 49, 0, 35, 28, 12, 30, 52, 4, 50, 55, 66, 53, 32, 33, 20, 67, 43, 26, 45, 29, 19, 13, 48, 54, 25, 31, 11, 47, 10, 63, 64, 5, 41, 2, 27, 7, 18, 6, 1, 62, 21, 37, 46] => 1119.07
[8, 20, 33, 61, 60, 39, 44, 24, 38, 4, 46, 15, 22, 37, 58, 21, 65, 62, 56, 14, 23, 6, 31, 2, 43, 67, 52, 0, 35, 28, 12, 69, 34, 68, 30, 36, 57, 49, 50, 64, 63, 10, 47, 53, 32, 66, 55, 51, 9, 16, 42, 40, 41, 5, 59, 11, 29, 19, 13, 27, 7, 25, 48, 54, 18, 1, 3, 17, 26, 45] => 1005.6
[64, 10, 63, 36, 57, 52, 1, 6, 31, 2, 8, 39, 45, 26, 67, 43, 5, 65, 21, 37, 58, 62, 7, 27, 48, 54, 25, 18, 68, 30, 12, 35, 0, 60, 44, 24, 38, 61, 55, 50, 51, 59, 11, 32, 66, 47, 53, 33, 20, 16, 42, 40, 41, 17, 3, 23, 14, 56, 34, 69, 28, 22, 15, 46, 13, 19, 29, 4, 9, 49] => 1163.61
